Rembrandt lighting, triangle shadow on cheek
butterfly lighting, shadow under nose
loop lighting, soft diagonal nose shadow
split lighting, half face in shadow
clamshell lighting, soft wraparound glow
broad lighting, lit side toward camera
short lighting, shadow side toward camera
paramount lighting, glamour Hollywood style
key light from 45 degrees
fill light, soft shadow reduction
backlight, glowing hair edges
rim light, thin bright outline on subject
edge light, sharp contour separation
top light, deep eye socket shadows
under lighting, dramatic upward shadows
side lighting, half shadow half glow
cross lighting, two opposing sources
front flat lighting, even no shadow
soft diffused light, gentle gradients
hard direct light, crisp sharp shadows
specular light, mirror-like bright reflections
bounce light, warm reflected off wall
dappled light, scattered through leaves
golden hour, warm amber low sun
sunset light, deep orange and pink sky
sunrise light, soft peach horizon glow
candlelight, flickering warm orange intimate
firelight, dancing red-orange warm shadows
tungsten bulb, deep warm yellow-orange cast
oil lamp light, amber glow soft flicker
match flame light, tiny warm point source
blue hour, deep cobalt twilight sky
moonlight, pale silver-blue cold glow
overcast daylight, flat cool soft gray
north window light, cool even diffusion
shade light, open cool blue ambient
snowbound light, bright cold blue-white reflection
fog light, scattered cool gray luminance
bright midday sunlight, hard overhead
cloudy bright, soft white no shadow
window light, single source soft falloff
skylight, open shade blue fill
forest light, green-filtered canopy glow
volumetric light, visible beams through air
god rays, shafts of light through clouds
dust-lit atmosphere, particles catching light
fog with backlight, glowing haze
mist diffusion, softened silhouettes
haze light, low contrast warm scatter
smoke-filled room, diffused streaks of light
rain-filtered light, wet reflections everywhere
steam backlight, translucent vapor glow
neon pink light, hot magenta cast
neon blue light, electric cyan glow
neon green light, toxic emerald cast
red neon sign glow, warm crimson ambient
mixed neon, pink and blue split tone
fluorescent tube, cold green-white flicker
LED strip light, purple ambient wash
laser light, sharp colored beams
UV blacklight, glowing violet ultraviolet
RGB gaming light, multicolor face wash
disco ball light, scattered moving spots
film noir lighting, high contrast venetian blind shadows
low key lighting, mostly shadow minimal fill
high key lighting, bright even minimal shadow
chiaroscuro, extreme dark-light contrast
silhouette, full backlight subject dark
cinematic motivated lighting, source visible in frame
Blade Runner lighting, neon rain wet reflections
Kubrick symmetrical practical lighting
Wong Kar-wai saturated color gel lighting
Vermeer window light, single soft side source
Caravaggio dramatic spotlight, black background
warm-cool split, orange key blue fill
complementary color gel, teal and amber
monochromatic red light, deep crimson mood
single color wash, deep blue melancholy
golden warm backlight with cool blue fill
green-magenta split lighting, surreal contrast
sodium vapor, sickly amber-yellow street light
mercury vapor, pale green-blue industrial
halation bloom, soft glow around highlights
lens flare, bright streak across frame
bokeh light, soft colored circles background
subsurface scattering, light through skin or petals
translucent backlight, glowing through fabric or hair
bioluminescent glow, organic blue-green light
holographic light, rainbow prismatic reflections
light painting, long exposure colored trails
